calle,altura,latitud,longitud,ciudad_detectada,barrio,direccion_osm
Güemes,195,-32.8394751,-60.7033113,Granadero Baigorria,Santa Rita,"Martin Güemes, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Artigas,2785,-32.842675,-60.712054,Granadero Baigorria,Los Robles,"2785, Artigas, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
6 de Enero,635,-32.8367167,-60.7153346,Granadero Baigorria,Los Robles,"8 de Enero, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Colón,1840,-32.839909,-60.7106958,Granadero Baigorria,Los Robles,"Cristobal Colón, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mansilla,785,-32.8515018,-60.7179181,Granadero Baigorria,No especificado,"Lucio V. Mansilla, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Callao,1625,-32.8580185,-60.7237268,Granadero Baigorria,No especificado,"1625, Callao, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Las Acacias,8140,-32.8668868,-60.7289575,Ibarlucea,Autostrada,"8140, Las Acacias, Autostrada, Ybarlucea, Municipio de Ybarlucea, Gran Rosario, Departamento Rosario, Santa Fe, S2142, Argentina"
Godoy,,-32.9650858,-60.7211951,Rosario,Godoy,"Godoy, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2009, Argentina"
Calle 362,,-32.850047,-60.7128305,Granadero Baigorria,Los Robles,"362, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Los Horneros,3361,-33.0872744,-60.7076473,Piñero,Pinares del Sur,"Los Horneros, Pinares del Sur, Piñero, Municipio de Piñero, Departamento Rosario, Santa Fe, S2119, Argentina"
Av. Rosas,,-32.9584514,-60.6337491,Rosario,Rosario Centro,"Avenida Pellegrini y Juan Manuel de Rosas, Avenida Carlos Pellegrini, Paseo Pellegrini, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Lugones,271,-32.857868,-60.7193536,Granadero Baigorria,No especificado,"Leopoldo Lugones, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Av. Los Rosales,98,-32.8332852,-60.7219121,Capitán Bermúdez,No especificado,"98, Avenida Los Rosales, Capitán Bermudez, Municipio de Capitán Bermudez, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2154, Argentina"
José Hernández,1998,-32.8552613,-60.722347,Granadero Baigorria,No especificado,"1998, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 6,2348,-32.8478831,-60.7076273,Granadero Baigorria,Los Robles,"2348, Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2580,-32.8474934,-60.713347,Granadero Baigorria,Los Robles,"Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maestro Massa,,-32.8756164,-60.702847,Rosario,La Florida,"Maestro Massa, La Florida, Celedonio Escalada, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Quiroga,,-32.8551502,-60.7216756,Granadero Baigorria,No especificado,"Facundo Quiroga, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Moreno,1473,-32.8633748,-60.7052683,Granadero Baigorria,Centro,"Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Amazonas,1358,-32.9684511,-60.6822675,Rosario,Bella Vista,"Amazonas, Bella Vista, Distrito Suroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Asunción,1361,-32.8636147,-60.7269704,Granadero Baigorria,Nuestra Señora de La Paz,"Asunción, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Namuncurá,458,-32.8541291,-60.7132794,Granadero Baigorria,No especificado,"458, Namuncurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 6,2348,-32.8478831,-60.7076273,Granadero Baigorria,Los Robles,"2348, Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 4,266,-32.8456769,-60.7111457,Granadero Baigorria,Los Robles,"Intendente Ansoleaga, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Onas,934,-32.8526409,-60.7209513,Granadero Baigorria,No especificado,"934, Pasaje Onás, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Facundo,1352,-32.8551502,-60.7216756,Granadero Baigorria,No especificado,"Facundo Quiroga, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jorge Newbery,1371,-32.8564919,-60.7257272,Granadero Baigorria,No especificado,"1371, Jorge Newbery, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
José Hernández,1843,-32.8563688,-60.722035,Granadero Baigorria,No especificado,"1843, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Balcarce,971,-32.8640451,-60.7180654,Granadero Baigorria,San Miguel,"971, Balcarce, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Namuncurá,961,-32.8557593,-60.7202303,Granadero Baigorria,No especificado,"961, Namuncurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1174,-32.8614801,-60.7222913,Granadero Baigorria,San Miguel,"1174, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Vicente López,554,-32.8636104,-60.7113622,Granadero Baigorria,San Miguel,"554, Vicente López, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Moreno,147,-32.8630898,-60.7044212,Granadero Baigorria,Centro,"147, Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1174,-32.8614801,-60.7222913,Granadero Baigorria,San Miguel,"1174, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Av. Buenos Aires,2859,-32.8593797,-60.709864,Granadero Baigorria,Centro,"Avenida Buenos Aires, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Alem,168,-32.8371272,-60.7073669,Granadero Baigorria,No especificado,"168, Leandro N. Alem, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jujuy,2210,-32.8376724,-60.7047243,Granadero Baigorria,Santa Rita,"Jujuy Pasage, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Santa Fe,2068,-32.8545638,-60.7135316,Granadero Baigorria,No especificado,"Avenida Santa Fe, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Teniente Güemes,,-32.9963134,-60.7803192,Pérez,Parque Güemes,"Teniente Coronel Pablo Richieri, Parque Güemes, Pérez, Municipio de Pérez, Gran Rosario, Departamento Rosario, Santa Fe, S2121, Argentina"
Av. Alvear,2428,-32.8591147,-60.7033762,Granadero Baigorria,Centro,"Avenida San Martín y Alvear, Avenida José de San Martín, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Candelaria,808,-32.9082855,-60.8113797,Funes,Zona 5,"808, Candelaria, Rudof, Zona 5, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Ituzaingó,1044,-32.8622297,-60.7125083,Granadero Baigorria,San Miguel,"1044, Ituzaingó, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 7,2476,-32.8457819,-60.7091734,Granadero Baigorria,Los Robles,"2476, Calle 7, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Quiroga,,-32.8551502,-60.7216756,Granadero Baigorria,No especificado,"Facundo Quiroga, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Suipacha,1034,-32.8641806,-60.7200919,Granadero Baigorria,San Miguel,"1034, Suipacha, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,873,-32.860294,-60.7177364,Granadero Baigorria,San Miguel,"873, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pasaje 608,4274,-32.8611501,-60.713203,Granadero Baigorria,San Miguel,"608, Pasaje E. Carriego, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Junín,3479,-32.8549593,-60.7196408,Granadero Baigorria,No especificado,"Junín, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Perito Moreno,525,-32.8518037,-60.7150101,Granadero Baigorria,No especificado,"525, Perito Moreno, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
La Cautiva,1355,-32.854526,-60.712589,Granadero Baigorria,Bon Vivant,"La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pancho Ramirez,831,-32.8544692,-60.7188454,Granadero Baigorria,No especificado,"831, Pancho Ramírez, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Lima,1846,-32.8628299,-60.728398,Granadero Baigorria,Nuestra Señora de La Paz,"Lima, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
La Cautiva,1765,-32.855217,-60.7124397,Granadero Baigorria,Bon Vivant,"1765, La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Callao,1052,-32.8644043,-60.7217203,Granadero Baigorria,San Miguel,"1052, Callao, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Eva Peron,1408,-32.8590438,-60.730488,Granadero Baigorria,No especificado,"Eva Perón, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Eva Peron,1673,-32.8583409,-60.7125263,Granadero Baigorria,San Miguel,"Eva Perón, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Paine,845,-32.8572471,-60.7181831,Granadero Baigorria,No especificado,"845, Paine, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Brown,1140,-32.8601822,-60.7221881,Granadero Baigorria,San Miguel,"1140, Almirante Brown, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Los Alamos,8158,-32.868637,-60.7291142,Ibarlucea,Autostrada,"8158, Los Álamos, Autostrada, Ybarlucea, Municipio de Ybarlucea, Gran Rosario, Departamento Rosario, Santa Fe, S2142, Argentina"
La Cautiva,1363,-32.854526,-60.712589,Granadero Baigorria,Bon Vivant,"La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
A. Roldan,3209,-32.9056587,-60.9138217,Roldán,No especificado,"Molinos Benvenuto S.A., Roldán, Municipio de Roldán, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2134, Argentina"
Richieri,235,-32.7986377,-60.7248799,Fray Luis Beltrán,Granaderos,"235, Richieri, Granaderos, Fray Luis Beltrán, Municipio de Fray Luis Beltrán, Gran Rosario, Departamento San Lorenzo, Santa Fe, 2156, Argentina"
Calle 6,2231,-32.8499263,-60.7070061,Granadero Baigorria,Los Robles,"2231, Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,362,-32.850047,-60.7128305,Granadero Baigorria,Los Robles,"362, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Arcos,3228,-32.9304178,-60.8266535,Funes,Zona 2,"Arcos del Sol, 3051, Lennox, La Cardera, Zona 2, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Baguales,3323,-32.8374458,-60.7188219,Granadero Baigorria,Lomas de Alicia,"Baguales, Lomas de Alicia, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2342,-32.8491391,-60.7127462,Granadero Baigorria,Los Robles,"2342, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2461,-32.8469737,-60.7133997,Granadero Baigorria,Los Robles,"2461, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
6 de Enero,635,-32.8367167,-60.7153346,Granadero Baigorria,Los Robles,"8 de Enero, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Perito Moreno,566,-32.85195,-60.7156023,Granadero Baigorria,No especificado,"566, Perito Moreno, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jose Hernandez,1958,-32.8554504,-60.7222756,Granadero Baigorria,No especificado,"1958, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pita,150,-32.9420807,-60.8326902,Funes,Kentucky,"Ibira Pita, Kentucky, Zona 10, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Chaco,1118,-32.8401483,-60.7030293,Granadero Baigorria,Santa Rita,"Chaco, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Callao,2136,-32.8534379,-60.7223596,Granadero Baigorria,No especificado,"2136, Callao, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Balcarce,1116,-32.8645949,-60.7202898,Granadero Baigorria,San Miguel,"1116, Balcarce, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1263,-32.8619403,-60.7235898,Granadero Baigorria,San Miguel,"1263, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 268,,-32.849507,-60.7103375,Granadero Baigorria,Los Robles,"268, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Silvestre,3255,-32.8515544,-60.7355108,Granadero Baigorria,No especificado,"Avenida Silvestre Begnis, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jose Hernandez,1842,-32.8563779,-60.722032,Granadero Baigorria,No especificado,"1842, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Estanislao Lopez,2122,-32.8535602,-60.7216385,Granadero Baigorria,No especificado,"2122, Estanislao López, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Parana,973,-32.9391155,-60.6918588,Rosario,Echesortu,"973, Paraná, Echesortu, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2002, Argentina"
Calle 12,2342,-32.8491391,-60.7127462,Granadero Baigorria,Los Robles,"2342, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
San Bartolome,789,-32.9420736,-60.7376848,Rosario,Antártida Argentina,"Colegio San Bartolomé, Bulevar Wilde, Área Productiva Ludueña, Antártida Argentina, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Eva Peron,3285,-32.8583409,-60.7125263,Granadero Baigorria,San Miguel,"Eva Perón, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Perito Moreno,580,-32.8519999,-60.7158045,Granadero Baigorria,No especificado,"580, Perito Moreno, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Estanislao Lopez,2147,-32.8532712,-60.7217309,Granadero Baigorria,No especificado,"2147, Estanislao López, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
San Martín,419,-32.8711247,-60.6996508,Rosario,La Florida,"Avenida José de San Martín, La Florida, Celedonio Escalada, Distrito Norte, Rosario, Municipio de Rosario, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Los Álamos,8103,-32.8684649,-60.729344,Ibarlucea,Autostrada,"8103, Los Álamos, Autostrada, Ybarlucea, Municipio de Ybarlucea, Gran Rosario, Departamento Rosario, Santa Fe, S2142, Argentina"
Matheu,2069,-32.8890356,-60.7248098,Rosario,Nuevo Alberdi,"Matheu, Nuevo Alberdi, La Cerámica y Cuyo, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Santa Fe,1850,-32.8545957,-60.7134719,Granadero Baigorria,No especificado,"1850, Avenida Santa Fe, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maipú,1430,-32.9547342,-60.6373216,Rosario,Rosario Centro,"1430, Maipú, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina"
Seco,870,-33.154614,-60.5082223,Arroyo Seco,No especificado,"Arroyo Seco, Municipio de Arroyo Seco, Gran Rosario, Departamento Rosario, Santa Fe, Argentina"
Montevideo,1216,-32.8630511,-60.7285633,Granadero Baigorria,Nuestra Señora de La Paz,"Montevideo, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 9,62,-32.8468587,-60.7107688,Granadero Baigorria,Los Robles,"Calle 9, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Los Álamos,8269,-32.8718463,-60.7408478,Ibarlucea,Logaritmo,"Los Álamos, Logaritmo, Ybarlucea, Municipio de Ybarlucea, Gran Rosario, Departamento Rosario, Santa Fe, S2142, Argentina"
Moreno,3555,-32.8633748,-60.7052683,Granadero Baigorria,Centro,"Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Yrigoyen,3533,-32.8966815,-60.8092856,Funes,Funes Norte,"Hipólito Yrigoyen, Paseo del Norte, Funes Norte, Zona 5, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
La Cautiva,955,-32.854526,-60.712589,Granadero Baigorria,Bon Vivant,"La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 11,2380,-32.8483083,-60.7120964,Granadero Baigorria,Los Robles,"2380, Calle 11, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Charcas,1397,-32.8621227,-60.7192371,Granadero Baigorria,San Miguel,"Charcas, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jorge Newbery,1363,-32.8564864,-60.7255655,Granadero Baigorria,No especificado,"1363, Jorge Newbery, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 13,2223,-32.8505297,-60.713215,Granadero Baigorria,Los Robles,"2223, Calle 13, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jorge Newbery,1363,-32.8564864,-60.7255655,Granadero Baigorria,No especificado,"1363, Jorge Newbery, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Suipacha,1210,-32.8621768,-60.7207812,Granadero Baigorria,San Miguel,"1210, Suipacha, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Junín,2210,-32.8519025,-60.720649,Granadero Baigorria,No especificado,"2210, Junín, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Junín,1218,-32.8613744,-60.7177761,Granadero Baigorria,San Miguel,"1218, Junín, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 5,2642,-32.8437458,-60.7112072,Granadero Baigorria,Los Robles,"Malvinas Argentinas, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 3,2260,-32.8467785,-60.7108038,Granadero Baigorria,Los Robles,"Calle 3, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Chaco,1149,-32.8401483,-60.7030293,Granadero Baigorria,Santa Rita,"Chaco, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Belgrano,1074,-32.8645038,-60.7048614,Granadero Baigorria,Centro,"Belgrano, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Moreno,783,-32.8633748,-60.7052683,Granadero Baigorria,Centro,"Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Arijón,2472,-33.0032453,-60.6552433,Rosario,Las Delicias,"Avenida Manuel Arijón, Las Delicias, Mercedes de San Martín, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Los Olivos,2780,-32.8424278,-60.7036352,Granadero Baigorria,Santa Rita,"2780, Los Olivos, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 2,136,-32.8475189,-60.7105448,Granadero Baigorria,Los Robles,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 11,2328,-32.8491885,-60.7118322,Granadero Baigorria,Los Robles,"2328, Calle 11, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Hipólito Yrigoyen,3302,-32.9320592,-60.8121298,Funes,Zona 2,"3302, Hipólito Yrigoyen, San Sebastián, Zona 2, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Dorrego,3380,-32.8375484,-60.7128455,Granadero Baigorria,Los Robles,"3380, Coronel Dorrego, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
San Martín,676,-32.8711247,-60.6996508,Rosario,La Florida,"Avenida José de San Martín, La Florida, Celedonio Escalada, Distrito Norte, Rosario, Municipio de Rosario, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Eva Perón,1062,-32.8587289,-60.7214287,Granadero Baigorria,San Miguel,"1062, Eva Perón, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Dorrego,1371,-32.842855,-60.7142063,Granadero Baigorria,Los Robles,"Coronel Dorrego, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
México,1019,-32.842393,-60.7074007,Granadero Baigorria,No especificado,"Pasaje Mexico, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Eva Perón,1405,-32.8583409,-60.7125263,Granadero Baigorria,San Miguel,"Eva Perón, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Moreno,3340,-32.8633748,-60.7052683,Granadero Baigorria,Centro,"Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Napoli,3550,-32.9355524,-60.6709385,Rosario,Luis Agote,"La Bella Napoli, Tucumán, Luis Agote, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
