registro_id,calle,altura,ciudad,barrio,latitud,longitud,distancia_corralon_km,direccion_osm,clave_direccion_fuente,frecuencia_direccion_fuente,estado_calidad,motivo_revision
DG-0287,Paine,339,Granadero Baigorria,No especificado,-32.8565209,-60.7154963,1.027757,"Paine, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",paine|339|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0288,Los Álamos,832,Zavalla,La Antonella,-33.0231695,-60.8614247,23.251626,"Los Álamos, La Antonella, Zavalla, Municipio de Zavalla, Departamento Rosario, Santa Fe, S2123, Argentina",los alamos|832|zavalla,1,APTO_ENTRENAMIENTO,
DG-0289,La Paz,1400,Granadero Baigorria,No especificado,-32.8712518,-60.7190993,2.441297,"La Paz, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",la paz|1400|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0290,Calle 20,2136,Granadero Baigorria,Los Robles,-32.8487748,-60.7068992,1.473855,"20, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 20|2136|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0291,Junín,1541,Granadero Baigorria,No especificado,-32.8582505,-60.7185630,1.045267,"1541, Junín, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",junin|1541|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0292,Los Pinos,845,Granadero Baigorria,Los Pinos,-32.8515984,-60.7034819,1.805971,"Los Pinos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",los pinos|845|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0293,Liniers,1787,Granadero Baigorria,No especificado,-32.8560173,-60.7164443,0.928137,"1787, Liniers, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",liniers|1787|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0294,Calle 12,2380,Granadero Baigorria,Los Robles,-32.8484881,-60.7129443,0.913903,"2380, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 12|2380|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0295,David Peña,17,Rosario,La Florida,-32.8782654,-60.6928064,4.242816,"David Peña, La Florida, Celedonio Escalada, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",david pena|17|rosario,1,APTO_ENTRENAMIENTO,
DG-0296,Jujuy,1815,Granadero Baigorria,Santa Rita,-32.8376724,-60.7047243,2.129601,"Jujuy Pasage, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",jujuy|1815|granadero baigorria,2,APTO_ENTRENAMIENTO,
