version_cache,lat_origen,lon_origen,lat_destino,lon_destino,distancia_metros,tiempo_base_min,fuente_distancia,fuente_tiempo
pedemonte-vial-v1,-32.829200,-60.701800,-32.870300,-60.704900,5590.704000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.829200,-60.701800,-32.878500,-60.693800,6973.034000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.829200,-60.701800,-32.884300,-60.721600,8449.927000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.829200,-60.701800,-32.893000,-60.735200,10302.507000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.831000,-60.719000,-32.841000,-60.721000,1602.431000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.831000,-60.719000,-32.849501,-60.722653,4617.467000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.831000,-60.719000,-32.859501,-60.702653,4433.623000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.832150,-60.699350,-32.849501,-60.722653,4955.977000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.832150,-60.699350,-32.859250,-60.751050,9120.768000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.832150,-60.699350,-32.889450,-60.714250,8339.141000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.815600,-60.742100,5079.209000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.824800,-60.736900,2489.320000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.829200,-60.701800,3478.924000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.842900,-60.711500,3965.052000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.849501,-60.722653,2126.430000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.849900,-60.687500,5268.078000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.856200,-60.716800,3017.436000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.861700,-60.746300,5874.456000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.870300,-60.704900,6258.487000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.878500,-60.693800,7640.817000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.884300,-60.721600,8905.923000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.835700,-60.728600,-32.893000,-60.735200,11231.968000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.841000,-60.721000,-32.831000,-60.719000,1602.431000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.841000,-60.721000,-32.849501,-60.722653,1698.028000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.841000,-60.721000,-32.859501,-60.702653,4660.407000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.815600,-60.742100,5455.289000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.824800,-60.736900,5140.556000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.829200,-60.701800,2250.496000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.835700,-60.728600,3965.052000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.849501,-60.722653,2122.057000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.849900,-60.687500,2397.494000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.856200,-60.716800,2166.421000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.861700,-60.746300,6124.815000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.870300,-60.704900,3870.100000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.878500,-60.693800,5252.430000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.884300,-60.721600,6729.323000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.842900,-60.711500,-32.893000,-60.735200,8581.902000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.848000,-60.728000,-32.849501,-60.722653,900.821000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.815600,-60.742100,5620.166000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.824800,-60.736900,5380.200000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.829200,-60.701800,4632.182000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.831000,-60.719000,3203.462000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.832150,-60.699350,4921.196000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.835700,-60.728600,2126.430000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.841000,-60.721000,1698.028000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.842900,-60.711500,2122.057000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.848000,-60.728000,900.821000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.849900,-60.687500,3425.082000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.856200,-60.716800,1174.440000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.859250,-60.751050,4448.225000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.859501,-60.702653,3245.812000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.861700,-60.746300,4286.192000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.870300,-60.704900,4415.491000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.878500,-60.693800,5797.821000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.884300,-60.721600,7317.659000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.889450,-60.714250,7322.649000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849501,-60.722653,-32.893000,-60.735200,9643.704000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.815600,-60.742100,8716.946000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.824800,-60.736900,8476.980000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.829200,-60.701800,4085.672000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.835700,-60.728600,5223.210000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.842900,-60.711500,2629.079000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.849501,-60.722653,3380.214000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
